,humidity,temp,clouds,wind_speed,longitude,latitude
Tres Arroyos,63,85.77,6,6.78,-105.25,19.93
Tromso,93,37.4,0,4.47,32.82,68.82
Tsiroanomandidy,12,96.8,0,9.17,32.9,24.09
Tual,58,75.35,34,18.84,40.07,1.75
Tuatapere,86,48.26,50,6.53,71.71,51.74
Tuktoyaktuk,83,80.6,75,2.24,-52.33,4.94
Tura,67,76.5,87,2.77,124.91,7.6
Turayf,79,90.82,11,2.24,54.37,24.47
Udachnyy,98,72.76,100,3.6,-12.83,10.08
Ulaanbaatar,58,78.97,100,29.17,50.81,9.49
Upernavik,70,87.8,40,6.93,-97.07,15.86
Ushuaia,87,56.08,90,9.17,-66.38,50.2
Ust-Maya,68,56.02,0,5.1,32.65,-13.64
Ust-Tsilma,100,59.43,1,4.7,-8.15,43.52
Uvinza,58,59.0,32,17.22,141.45,-31.97
Uyuni,73,70.0,1,1.01,15.94,39.52
Vaini,53,63.09,49,2.84,132.56,51.07
Vakhrushev,68,69.8,40,8.05,-7.99,31.63
Vanavara,79,82.84,79,9.89,147.27,-2.02
Vao,52,88.25,1,8.05,-92.2,37.83
Vardo,100,42.8,75,13.87,121.89,-33.86
Velsk,55,86.0,40,13.87,-87.96,14.25
Verkhnyaya Inta,86,66.01,13,14.05,-80.82,-5.56
Victoria,82,73.73,90,1.97,18.29,-1.93
Viedma,81,65.23,100,16.31,146.27,-20.07
Vila Franca do Campo,94,75.2,40,3.36,-35.46,-5.2
Vila Velha,85,79.52,97,4.68,121.11,13.8
Villa Rica,76,78.79,83,5.55,78.12,8.57
Visnes,82,53.78,0,3.04,44.7,38.23
Waingapu,89,55.64,74,2.26,87.21,27.38
Waipawa,72,41.15,39,2.91,88.52,28.28
Wajima,78,71.6,0,12.75,-54.63,-20.51
Wajir,82,52.52,100,2.35,159.24,61.92
Walvis Bay,96,68.0,96,1.83,15.14,4.12
Wana,11,89.6,1,23.04,-108.74,35.53
Warri,98,60.88,100,0.85,93.82,27.54
Warrington,71,65.66,0,1.23,30.39,-5.1
Waynesville,66,50.54,0,10.29,-65.37,-24.93
Wellington,90,49.63,4,3.69,82.18,29.28
Wenatchee,97,75.74,100,3.36,90.4,26.47
Were Ilu,75,82.03,95,3.31,155.48,-6.32
Westport,66,87.8,40,2.24,-76.53,8.2
Whitefish,40,89.92,1,5.82,-82.53,33.19
Whithorn,96,59.18,46,5.06,48.57,-17.01
Yalutorovsk,78,71.6,0,3.36,19.67,41.76
Yar-Sale,88,77.0,75,4.7,135.99,33.72
Yarmouth,88,63.9,90,4.7,-71.84,46.89
Yellowknife,70,50.54,56,3.06,64.42,63.19
Yerbogachen,89,65.0,84,3.78,34.53,10.07
Zhangjiakou,94,78.94,75,12.75,-71.08,19.55
Zhigansk,33,86.86,1,4.7,-74.16,40.86
Zholymbet,77,57.9,90,5.82,-122.76,45.42
Zhuhai,80,61.0,100,10.63,118.78,42.12
Ziro,66,50.0,0,10.29,25.73,62.6
Ziway,85,52.09,97,1.05,29.48,-3.48
Zlitan,55,63.99,0,10.71,143.14,51.8
Zvenyhorodka,73,71.6,20,4.7,46.64,-16.11
